iter	Passed	Remaining
401	15148	22534
402	15187	22498
403	15222	22457
404	15258	22417
405	15298	22381
406	15337	22346
407	15374	22307
408	15411	22270
409	15450	22233
410	15490	22199
411	15527	22160
412	15564	22122
413	15601	22083
414	15640	22046
415	15678	22010
416	15717	21974
417	15754	21935
418	15792	21898
419	15828	21858
420	15864	21817
421	15899	21776
422	15935	21737
423	15973	21699
424	16009	21660
425	16047	21622
426	16085	21585
427	16122	21546
428	16159	21508
429	16195	21468
430	16232	21430
431	16269	21391
432	16309	21356
433	16345	21317
434	16383	21279
435	16420	21241
436	16458	21203
437	16493	21162
438	16530	21124
439	16566	21084
440	16603	21046
441	16640	21007
442	16680	20972
443	16716	20933
444	16753	20894
445	16790	20856
446	16828	20818
447	16865	20780
448	16901	20740
449	16939	20703
450	16975	20664
451	17012	20625
452	17047	20584
453	17087	20550
454	17125	20512
455	17163	20475
456	17198	20434
457	17235	20396
458	17272	20358
459	17309	20320
460	17345	20280
461	17382	20242
462	17419	20204
463	17457	20166
464	17494	20127
465	17529	20087
466	17566	20048
467	17602	20009
468	17638	19970
469	17674	19931
470	17711	19892
471	17747	19853
472	17787	19817
473	17825	19780
474	17860	19740
475	17896	19701
476	17933	19662
477	17971	19626
478	18009	19588
479	18046	19549
480	18083	19511
481	18117	19471
482	18154	19432
483	18191	19393
484	18228	19355
485	18264	19316
486	18301	19278
487	18338	19240
488	18373	19199
489	18410	19161
490	18447	19123
491	18484	19085
492	18521	19047
493	18557	19008
494	18595	18970
495	18632	18933
496	18669	18895
497	18706	18856
498	18743	18818
499	18778	18778
500	18814	18739
501	18851	18701
502	18888	18663
503	18923	18622
504	18958	18582
505	18993	18543
506	19029	18503
507	19067	18466
508	19104	18428
509	19139	18389
510	19176	18351
511	19212	18311
512	19247	18272
513	19282	18232
514	19318	18192
515	19354	18154
516	19391	18115
517	19428	18078
518	19466	18040
519	19502	18002
520	19540	17965
521	19577	17927
522	19613	17888
523	19649	17849
524	19685	17810
525	19721	17771
526	19757	17732
527	19794	17694
528	19830	17656
529	19866	17617
530	19902	17578
531	19938	17540
532	19975	17501
533	20011	17463
534	20048	17424
535	20083	17385
536	20118	17346
537	20156	17309
538	20191	17269
539	20227	17231
540	20263	17192
541	20300	17153
542	20336	17115
543	20371	17076
544	20407	17037
545	20444	16999
546	20480	16961
547	20516	16922
548	20553	16884
549	20589	16845
550	20625	16807
551	20661	16768
552	20698	16730
553	20736	16693
554	20774	16656
555	20811	16619
556	20852	16584
557	20888	16546
558	20926	16508
559	20963	16471
560	21000	16433
561	21035	16394
562	21071	16355
563	21109	16318
564	21145	16279
565	21179	16240
566	21215	16201
567	21252	16163
568	21288	16125
569	21323	16085
570	21360	16048
571	21395	16009
572	21432	15971
573	21467	15932
574	21504	15894
575	21540	15855
576	21576	15817
577	21610	15778
578	21645	15739
579	21682	15700
580	21718	15663
581	21755	15625
582	21792	15587
583	21827	15548
584	21864	15510
585	21900	15472
586	21936	15434
587	21974	15396
588	22010	15358
589	22046	15320
590	22082	15282
591	22119	15244
592	22156	15206
593	22192	15168
594	22230	15131
595	22267	15094
596	22306	15057
597	22342	15019
598	22378	14981
599	22414	14943
600	22450	14904
601	22489	14868
602	22525	14830
603	22561	14792
604	22597	14753
605	22635	14716
606	22671	14678
607	22708	14640
608	22744	14602
609	22779	14564
610	22816	14526
611	22852	14488
612	22888	14450
613	22925	14412
614	22960	14373
615	22998	14336
616	23036	14300
617	23074	14262
618	23112	14225
619	23151	14189
620	23188	14152
621	23223	14113
622	23260	14075
623	23297	14038
624	23335	14001
625	23377	13966
626	23415	13929
627	23454	13893
628	23492	13856
629	23529	13819
630	23568	13782
631	23603	13743
632	23641	13706
633	23677	13668
634	23715	13631
635	23751	13593
636	23787	13555
637	23825	13518
638	23866	13483
639	23908	13448
640	23946	13411
641	23985	13374
642	24020	13336
643	24059	13299
644	24095	13261
645	24133	13224
646	24169	13186
